Tiempo_ms,Original,Demodulada
3.440000000000000280e-01,-9.297764858882519023e-01,-7.663805835187016413e-01
3.449999999999999734e-01,-9.510565162951527540e-01,-7.847612824509262452e-01
3.460000000000000298e-01,-9.685831611286312981e-01,-8.004072632062418924e-01
3.469999999999999751e-01,-9.822872507286880550e-01,-8.127611868020809816e-01
3.479999999999999760e-01,-9.921147013144777649e-01,-8.223527781548950477e-01
3.490000000000000324e-01,-9.980267284282717810e-01,-8.284885576788514339e-01
3.499999999999999778e-01,-1.000000000000000000e+00,-8.312052300024350693e-01
3.510000000000000342e-01,-9.980267284282714479e-01,-8.312052300024349583e-01
3.519999999999999796e-01,-9.921147013144779869e-01,-8.282145948080407161e-01
3.530000000000000360e-01,-9.822872507286883881e-01,-8.220523780235079458e-01
3.539999999999999813e-01,-9.685831611286317422e-01,-8.126751195374223302e-01
3.549999999999999822e-01,-9.510565162951533091e-01,-8.003107553787193185e-01
3.559999999999999831e-01,-9.297764858882524575e-01,-7.851248652287626806e-01
3.569999999999999840e-01,-9.048270524660194658e-01,-7.667441662965378546e-01
3.579999999999999849e-01,-8.763066800438653603e-01,-7.453216451210661342e-01
3.589999999999999858e-01,-8.443279255020154084e-01,-7.211333109576590905e-01
3.600000000000000422e-01,-8.090169943749458970e-01,-6.939135700704618381e-01
3.609999999999999876e-01,-7.705132427757900304e-01,-6.645987237669376269e-01
3.620000000000000440e-01,-7.289686274214102202e-01,-6.324867979808669327e-01
3.629999999999999893e-01,-6.845471059286900584e-01,-5.979633856750927734e-01
3.639999999999999902e-01,-6.374239897486887463e-01,-5.610576789219131610e-01
3.649999999999999911e-01,-5.877852522924752465e-01,-5.219953280117654026e-01
3.659999999999999920e-01,-5.358267949789962126e-01,-4.811603830291236727e-01
3.669999999999999929e-01,-4.817536741017182100e-01,-4.388378817422593503e-01
3.679999999999999938e-01,-4.257792915650728260e-01,-3.949942037500070446e-01
3.690000000000000502e-01,-3.681245526846784744e-01,-3.493847551804336038e-01
3.699999999999999956e-01,-3.090169943749482839e-01,-3.024888244721585240e-01
3.709999999999999964e-01,-2.486898871648525744e-01,-2.549282071050561482e-01
